92038.573482,21436.497070,3005.000000
91949.646107,21436.646740,3005.000000
91858.571045,21436.800049,3005.000000
91782.971558,21471.994507,3005.000000
91769.305908,21495.601685,3005.000000
91765.366760,21522.732788,3005.000183
91774.207886,21573.153931,3005.000000
91773.920776,21590.177734,3005.000000
91771.115479,21599.375000,3005.000000
91805.278442,21607.669434,3005.000000
91800.057825,21637.273990,3005.000000
91801.347147,21669.324561,3005.000000
91800.500244,21707.491322,3005.000000
91788.288452,21759.532853,3005.000000
91774.601074,21777.071510,3005.000000
91750.259888,21804.578186,3005.000000
91745.899963,21874.574707,3005.000000
91758.342651,21900.169037,3005.000000
91843.019531,21953.170654,3005.000000
91869.723433,21965.214475,3005.000000
91952.540650,21968.808677,3005.000000
